,,,,,,,,,,,MacNeil et al. ,,In review paper from Ivor,Ivor most recent,,,,,,,,,
spp,SPECIES,FAMILY,family,COMMONFAMILYALL,TROPHIC_MONREP,A2_guild,TOPHIC_MONREP,size,habitat,Included,fg,EDITED,A2_fg,Ivor_F1,Ivor_F2,A2_size,A2_schooling,Ivor_guild,criteria,,,,
Apogon erythrinus,NA,NA,Apogonidae,NA,NA,NA,NA,4,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Apogon fuscus,NA,NA,Apogonidae,NA,NA,NA,NA,7,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Apogon lachneri,NA,NA,Apogonidae,NA,NA,NA,NA,6.5,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Apogon lateralis,NA,NA,Apogonidae,NA,NA,NA,NA,11,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Apogon maculatus,NA,NA,Apogonidae,NA,NA,NA,NA,11.1,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Apogon townsendi,NA,NA,Apogonidae,NA,NA,NA,NA,6.5,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Archamia mozambiquensis,NA,NA,Apogonidae,NA,NA,NA,NA,8.9,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Asterropteryx ensifera,NA,NA,Gobiidae,NA,NA,NA,NA,3,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Asterropteryx semipunctata,NA,NA,Gobiidae,NA,NA,NA,NA,4,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Asterropteryx semipunctata,NA,NA,Gobiidae,NA,NA,NA,NA,4,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Atherinomorus insularum,NA,NA,Atherinidae,NA,NA,NA,Planktivore,9,Pelagic,0,Planktivore,,NA,PK,PK,NA,NA,Pk,0,,,,
Atrosalarias fuscus,NA,NA,Blenniidae,NA,NA,NA,NA,14.5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Aulostomus maculataus,NA,NA,Aulostomidae,NA,NA,NA,NA,80,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Balistes vetula,NA,NA,Balistidae,NA,NA,NA,NA,60,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Balistoides sp,NA,NA,Balistidae,NA,NA,NA,NA,50,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Balistoides sp,NA,NA,Balistidae,NA,NA,NA,NA,50,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Bathygobius soporator,NA,NA,Gobiidae,NA,NA,NA,NA,15,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Blenniella gibbifrons,NA,NA,Blenniidae,NA,NA,NA,NA,12,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Bodianus rufus,NA,NA,Labridae,NA,NA,NA,NA,40,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
