"","spp","SPECIES","FAMILY","COMMONFAMILYALL","TROPHIC_MONREP","size","family","fg","habitat","Included"
"656","Thalassoma sp","THSP","Labridae","Wrasse","SECONDARY",35,"Labridae","Micro-invertivore","Reef",1
"657","Thalassoma sp","THSP","Labridae","Wrasse","SECONDARY",35,"Labridae","Micro-invertivore","Reef",1
"658","Thalassoma trilobatum","THTR","Labridae","Wrasse","SECONDARY",30,"Labridae","Micro-invertivore","Reef",1
"659","Thunnus albacares","THAL","Scombridae","Tuna","PISCIVORE",239,"Scombridae","Piscivore","Pelagic",0
"660","Trachinotus blochii","TRBL","Carangidae","Jack","SECONDARY",110,"Carangidae","Pisci-invertivore","Pelagic",0
"661","Triaenodon obesus","TROB","Carcharhinidae","Requiem","PISCIVORE",213,"Carcharhinidae","Piscivore","Unknown",0
"662","Tylosurus crocodilus","TYCR","Belonidae","Needlefish","PISCIVORE",150,"Belonidae","Piscivore","Pelagic",0
"663","Valenciennea strigata","VAST","Gobiidae","Goby","SECONDARY",18,"Gobiidae","Detritivore","Reef",1
"664","Variola albimarginata","VAAL","Serranidae","Grouper","PISCIVORE",65,"Serranidae","Piscivore","Reef",1
"665","Variola louti","VALO","Serranidae","Grouper","PISCIVORE",83,"Serranidae","Piscivore","Reef",1
"666","Xanthichthys auromarginatus","XAAU","Balistidae","Triggerfish","PLANKTIVORE",30,"Balistidae","Planktivore","Reef",1
"667","Xanthichthys caeruleolineatus","XACA","Balistidae","Triggerfish","PLANKTIVORE",35,"Balistidae","Planktivore","Reef",1
"668","Xanthichthys mento","XAME","Balistidae","Triggerfish","PLANKTIVORE",30,"Balistidae","Planktivore","Reef",1
"669","Zanclus cornutus","ZACO","Zanclidae","Moorish idol","SECONDARY",23,"Zanclidae","Micro-invertivore","Reef",1
"670","Zebrasoma flavescens","ZEFL","Acanthuridae","Surgeonfish","PRIMARY",20,"Acanthuridae","Grazer","Reef",1
"671","Zebrasoma rostratum","ZERO","Acanthuridae","Surgeonfish","PRIMARY",21,"Acanthuridae","Grazer","Reef",1
"672","Zebrasoma scopas","ZESC","Acanthuridae","Surgeonfish","PRIMARY",40,"Acanthuridae","Grazer","Reef",1
"673","Zebrasoma veliferum","ZEVE","Acanthuridae","Surgeonfish","PRIMARY",40,"Acanthuridae","Grazer","Reef",1
