spp,A2_guild,A2_fg,A2_size,A2_schooling
Carcharhinus melanopterus,Carnivore,Piscivore,200,1
Triaenodon obesus,Carnivore,Nocturnal piscivore,213,1
Chaetodon auriga,Carnivore,Corallivore,23,2
Chaetodon bennetti,Carnivore,Corallivore,18,2
Chaetodon citrinellus,Carnivore,Corallivore,13,2
Chaetodon ephippium,Carnivore,Corallivore,23,2
Chaetodon flavocoronatus,Carnivore,Corallivore,12,2
Chaetodon fremblii,Carnivore,Invertivore,15,2
Chaetodon kleinii,Carnivore,Corallivore,14,2
Chaetodon lunula,Carnivore,Invertivore,21,2
Chaetodon lunulatus,Carnivore,Corallivore,15,2
Chaetodon melannotus,Carnivore,Corallivore,15,2
Chaetodon mertensii,Carnivore,Invertivore,13,2
Chaetodon meyeri,Carnivore,Corallivore,18,2
Chaetodon miliaris,Planktivore,Diurnal planktivore,16,2
Chaetodon multicinctus,Carnivore,Corallivore,12,2
Chaetodon ornatissimus,Carnivore,Corallivore,20,2
Chaetodon pelewensis,Carnivore,Corallivore,13,2
Chaetodon punctatofasciatus,Carnivore,Corallivore,12,2
Chaetodon quadrimaculatus,Carnivore,Corallivore,16,2
Chaetodon reticulatus,Carnivore,Corallivore,18,2
Chaetodon trifascialis,Carnivore,Corallivore,18,2
Chaetodon ulietensis,Carnivore,Invertivore,15,2
Chaetodon unimaculatus,Carnivore,Corallivore,20,2
Chaetodon vagabundus,Carnivore,Corallivore,23,2
Forcipiger flavissimus,Carnivore,Invertivore,22,2
Forcipiger longirostris,Carnivore,Invertivore,22,2
Hemitaurichthys polylepis,Planktivore,Diurnal planktivore,18,3
Hemitaurichthys thompsoni,Planktivore,Diurnal planktivore,21,5
Heniochus chrysostomus,Carnivore,Corallivore,18,2
Heniochus diphreutes,Planktivore,Diurnal planktivore,20,4
Heniochus monoceros,Carnivore,Invertivore,23,2
Heniochus varius,Carnivore,Corallivore,19,2
Chanos chanos,Herbivore/Planktivore,Grazer/,180,5
,,Diurnal planktivore,,
Goniistius vittatus,Carnivore,Invertivore,41,1
Cirrhitichthys falco,Carnivore,Diurnal piscivore,9,2
Cirrhitichthys oxycephalus,Carnivore,Diurnal piscivore,12,3
Cirrhitops fasciatus,Carnivore,Invertivore,12,1
Cirrhitops hubbardi,Carnivore,Diurnal piscivore,7.5,1
Cirrhitus pinnulatus,Carnivore,Invertivore,30,1
Neocirrhites armatus,Carnivore,Diurnal piscivore,9,2
Paracirrhites arcatus,Carnivore,Generalist carnivore,14,1
Paracirrhites forsteri,Carnivore,Generalist carnivore,23,1
