"","island","biomass","SE"
"1","Baker",142.026285719421,33.1443212955054
"2","Howland",223.204120621238,61.0436235305819
"3","Jarvis",177.923399978864,24.8329934052911
"4","Johnston",89.839719124262,26.9540290258631
"5","Kingman",130.550925800169,11.7307949250598
"6","Palmyra",138.686705646236,19.9218492214563
"7","Wake",67.0607859203276,17.4824941626377
