island,year,TotFish,TotFishSE,group,All_TotFish,All_TotFishSE
Baker,2008,65.67239239,11.29397494,Piscivore,168.9042025,26.98667823
Baker,2010,31.34446087,6.658428901,Piscivore,68.77491954,11.65764639
Baker,2012,65.92634175,24.61535547,Piscivore,123.0696225,30.78465406
Baker,2015,42.83674248,9.323457058,Piscivore,106.1246063,15.51677543
Howland,2008,70.79153005,19.54497999,Piscivore,140.969845,21.62841203
Howland,2010,27.34770603,6.535073306,Piscivore,71.16441345,13.92588049
Howland,2012,46.13147222,7.022244161,Piscivore,103.4811522,7.161247955
Howland,2015,53.49206975,7.965913979,Piscivore,114.1859506,10.73197515
Jarvis,2008,95.5471819,21.2864765,Piscivore,166.406422,22.34588899
Jarvis,2010,107.6315605,24.69734309,Piscivore,170.7782815,24.61075573
Jarvis,2012,114.7785596,16.67858138,Piscivore,212.1388254,21.07827459
Jarvis,2015,63.13909024,9.482496297,Piscivore,139.6810167,12.91234709
Jarvis,2016,58.07294655,12.54271341,Piscivore,113.3933637,13.42260207
Johnston,2008,14.51422501,8.828041505,Piscivore,48.15573711,10.50389079
Johnston,2010,24.06536245,8.331880779,Piscivore,66.98872918,8.621934454
Johnston,2012,16.77793964,5.703152704,Piscivore,59.71498691,7.509222761
Johnston,2015,11.74984247,2.927428783,Piscivore,60.18493058,7.574206475
Kingman,2008,190.1872506,60.95883229,Piscivore,260.2078595,65.80941586
Kingman,2010,202.9246167,41.7416985,Piscivore,306.0137814,55.65227691
Kingman,2012,213.8669325,18.54285621,Piscivore,297.0899093,24.02013294
Kingman,2015,143.6251977,17.03714509,Piscivore,215.5120389,21.89429626
Palmyra,2008,47.04655273,11.39499068,Piscivore,93.19058143,12.39334925
Palmyra,2010,63.94615288,10.30149296,Piscivore,125.1576123,13.6611577
Palmyra,2012,76.35763658,9.887525588,Piscivore,157.1111108,13.78967486
Palmyra,2015,52.50100222,5.625540319,Piscivore,92.11991376,7.517356245
Wake,2009,8.316416016,1.966947164,Piscivore,43.0334043,5.647794051
Wake,2011,7.849486652,1.036420661,Piscivore,51.50481329,4.197193568
Wake,2014,10.36332763,1.432984936,Piscivore,43.65431937,3.725582085
Baker,2008,39.19155702,7.979342854,Planktivore,,
Baker,2010,15.7853336,3.939701471,Planktivore,,
Baker,2012,18.4358792,2.880618766,Planktivore,,
Baker,2015,27.4173342,4.179259908,Planktivore,,
Howland,2008,27.43009891,6.12278931,Planktivore,,
Howland,2010,18.41314077,3.374192824,Planktivore,,
Howland,2012,21.5907227,2.572409354,Planktivore,,
Howland,2015,31.53030606,3.006662844,Planktivore,,
Jarvis,2008,24.7318271,2.136519866,Planktivore,,
Jarvis,2010,20.08299404,3.664740872,Planktivore,,
Jarvis,2012,36.002113,4.416671971,Planktivore,,
Jarvis,2015,33.18853718,4.467762535,Planktivore,,
Jarvis,2016,15.76166947,2.579697738,Planktivore,,
Johnston,2008,12.20647545,3.943774348,Planktivore,,
Johnston,2010,9.967311099,3.947749124,Planktivore,,
Johnston,2012,15.1662135,1.611084326,Planktivore,,
Johnston,2015,11.87040393,2.580678833,Planktivore,,
Kingman,2008,41.80859852,21.5109997,Planktivore,,
Kingman,2010,71.34216079,18.59133717,Planktivore,,
Kingman,2012,44.92654785,7.21631727,Planktivore,,
Kingman,2015,45.65523016,7.355902645,Planktivore,,
Palmyra,2008,9.119620701,2.304764371,Planktivore,,
Palmyra,2010,17.10403341,3.264766639,Planktivore,,
Palmyra,2012,22.97430673,2.480442092,Planktivore,,
Palmyra,2015,8.410026264,1.167149614,Planktivore,,
Wake,2009,4.096504572,0.691223658,Planktivore,,
Wake,2011,6.05413963,1.277627098,Planktivore,,
Wake,2014,3.541795598,0.518173649,Planktivore,,
Baker,2008,43.03696131,12.80667775,Prim. Cons.,,
Baker,2010,13.91264058,2.367891614,Prim. Cons.,,
Baker,2012,28.56338824,6.927237027,Prim. Cons.,,
Baker,2015,22.04419456,4.408228146,Prim. Cons.,,
Howland,2008,29.15722763,2.520721342,Prim. Cons.,,
Howland,2010,13.76273262,1.313211436,Prim. Cons.,,
Howland,2012,20.34645234,2.197871799,Prim. Cons.,,
Howland,2015,17.62861183,2.275922004,Prim. Cons.,,
Jarvis,2008,31.31416225,3.718456978,Prim. Cons.,,
Jarvis,2010,30.15283331,2.121584455,Prim. Cons.,,
Jarvis,2012,45.74186191,3.718166621,Prim. Cons.,,
Jarvis,2015,29.28032053,3.085959126,Prim. Cons.,,
Jarvis,2016,30.968782,2.861750733,Prim. Cons.,,
Johnston,2008,14.90649733,0.682471694,Prim. Cons.,,
Johnston,2010,27.73446274,6.70286973,Prim. Cons.,,
Johnston,2012,21.42646475,5.34650182,Prim. Cons.,,
Johnston,2015,30.19940646,3.582622377,Prim. Cons.,,
Kingman,2008,19.16803727,6.651069652,Prim. Cons.,,
Kingman,2010,20.687196,3.589395228,Prim. Cons.,,
Kingman,2012,23.05000188,2.525401361,Prim. Cons.,,
Kingman,2015,17.30739796,1.872825802,Prim. Cons.,,
Palmyra,2008,25.33862508,2.724058179,Prim. Cons.,,
Palmyra,2010,29.4419063,3.261892675,Prim. Cons.,,
Palmyra,2012,31.65287969,3.042085435,Prim. Cons.,,
Palmyra,2015,17.85190766,1.468394438,Prim. Cons.,,
Wake,2009,19.44899193,3.163841756,Prim. Cons.,,
Wake,2011,26.31633348,1.942598941,Prim. Cons.,,
Wake,2014,22.08252376,2.376382924,Prim. Cons.,,
Baker,2008,21.0032918,7.463412584,Sec. Cons. ,,
Baker,2010,7.732484481,1.830916951,Sec. Cons. ,,
Baker,2012,10.14401333,1.31576845,Sec. Cons. ,,
Baker,2015,13.82633505,2.189600823,Sec. Cons. ,,
Howland,2008,13.59098845,1.570226684,Sec. Cons. ,,
Howland,2010,11.64083403,4.689949505,Sec. Cons. ,,
Howland,2012,15.41250493,2.154950647,Sec. Cons. ,,
Howland,2015,11.53496299,1.06235656,Sec. Cons. ,,
Jarvis,2008,14.81325078,1.847322139,Sec. Cons. ,,
Jarvis,2010,12.91089374,0.743281571,Sec. Cons. ,,
Jarvis,2012,15.6162909,1.428643758,Sec. Cons. ,,
Jarvis,2015,14.07306878,1.136261731,Sec. Cons. ,,
Jarvis,2016,8.589965648,0.918917214,Sec. Cons. ,,
Johnston,2008,6.528539306,1.482665231,Sec. Cons. ,,
Johnston,2010,5.22159289,1.55040439,Sec. Cons. ,,
Johnston,2012,6.344369021,0.991879649,Sec. Cons. ,,
Johnston,2015,6.365277718,1.138604808,Sec. Cons. ,,
Kingman,2008,9.043973133,4.556337797,Sec. Cons. ,,
Kingman,2010,11.05980786,2.534510509,Sec. Cons. ,,
Kingman,2012,15.24642712,1.385537321,Sec. Cons. ,,
Kingman,2015,8.924213052,0.625842378,Sec. Cons. ,,
Palmyra,2008,11.68578292,2.584547735,Sec. Cons. ,,
Palmyra,2010,14.66551974,2.595253559,Sec. Cons. ,,
Palmyra,2012,26.12628778,3.411224711,Sec. Cons. ,,
Palmyra,2015,13.35697762,2.078526488,Sec. Cons. ,,
Wake,2009,11.17149179,2.441396705,Sec. Cons. ,,
Wake,2011,11.28485353,1.730719112,Sec. Cons. ,,
Wake,2014,7.666672372,1.153745491,Sec. Cons. ,,
