ISLAND,YEAR,TotFish,TotFishSE,group,All_TotFish,All_TotFishSE
Jarvis,2001,0.439606308,0.439606308,Tuna,,
Kingman,2001,0,NA,Tuna,,
Palmyra,2001,0,0,Tuna,,
Baker,2002,0,0,Tuna,,
Howland,2002,0,NA,Tuna,,
Jarvis,2002,0,NA,Tuna,,
Kingman,2002,0.855154541,0.855154541,Tuna,,
Palmyra,2002,0,0,Tuna,,
Baker,2004,0.229683077,0.229683077,Tuna,,
Howland,2004,0,0,Tuna,,
Jarvis,2004,0,0,Tuna,,
Johnston,2004,0,0,Tuna,,
Kingman,2004,0,0,Tuna,,
Palmyra,2004,0,0,Tuna,,
Wake,2005,0.09459621,0.09459621,Tuna,,
Baker,2006,0.170824943,0.170824943,Tuna,,
Howland,2006,6.024695556,5.964794167,Tuna,,
Jarvis,2006,0,0,Tuna,,
Johnston,2006,0,0,Tuna,,
Kingman,2006,0,0,Tuna,,
Palmyra,2006,0,0,Tuna,,
Wake,2007,0,0,Tuna,,
Baker,2008,0.342174494,0.266802657,Tuna,,
Howland,2008,0.202778047,0.068721089,Tuna,,
Jarvis,2008,0.077163943,0.055868732,Tuna,,
Johnston,2008,0,0,Tuna,,
Kingman,2008,0,0,Tuna,,
Palmyra,2008,0,0,Tuna,,
Wake,2009,0,0,Tuna,,
Baker,2010,0,0,Tuna,,
Howland,2010,0,0,Tuna,,
Jarvis,2010,0,0,Tuna,,
Johnston,2010,0,0,Tuna,,
Kingman,2010,0,0,Tuna,,
Palmyra,2010,0,0,Tuna,,
Wake,2011,0,0,Tuna,,
Baker,2012,2.226144051,1.426612994,Tuna,,
Howland,2012,2.214809376,1.701919735,Tuna,,
Jarvis,2012,0,0,Tuna,,
Johnston,2012,0,0,Tuna,,
Kingman,2012,0,0,Tuna,,
Palmyra,2012,0,0,Tuna,,
Wake,2014,0,0,Tuna,,
Baker,2015,0,0,Tuna,,
Howland,2015,0,0,Tuna,,
Jarvis,2015,0,0,Tuna,,
Johnston,2015,0,0,Tuna,,
Kingman,2015,0.019780351,0.019780351,Tuna,,
Palmyra,2015,0.012257125,0.012257125,Tuna,,
Baker,2001,0.472242832,0.15165412,Parrotfish,,
Howland,2001,1.334393764,0.183823574,Parrotfish,,
Jarvis,2001,1.039603451,0.099158254,Parrotfish,,
Kingman,2001,0.793368369,NA,Parrotfish,,
Palmyra,2001,1.412966825,1.412966825,Parrotfish,,
Baker,2002,0,0,Parrotfish,,
Howland,2002,0,NA,Parrotfish,,
Jarvis,2002,1.289349992,NA,Parrotfish,,
Kingman,2002,0.442908785,0.209492706,Parrotfish,,
Palmyra,2002,0.988705877,0.407311222,Parrotfish,,
Baker,2004,0.2110825,0.067832088,Parrotfish,,
Howland,2004,1.257861988,0.288855314,Parrotfish,,
Jarvis,2004,1.392319679,0.36919893,Parrotfish,,
Johnston,2004,0.094152645,0.045297926,Parrotfish,,
Kingman,2004,1.720704195,0.990291563,Parrotfish,,
Palmyra,2004,1.691241606,0.730668099,Parrotfish,,
Wake,2005,2.753345786,1.112930175,Parrotfish,,
Baker,2006,0.91951795,0.567978609,Parrotfish,,
Howland,2006,1.027190362,0.241815052,Parrotfish,,
Jarvis,2006,1.94099887,0.362616528,Parrotfish,,
Johnston,2006,0.336058489,0.213064755,Parrotfish,,
Kingman,2006,1.812538293,0.547323781,Parrotfish,,
Palmyra,2006,0.658891099,0.298859296,Parrotfish,,
Wake,2007,4.589094654,1.07798477,Parrotfish,,
Baker,2008,0.172255464,0.060308977,Parrotfish,,
Howland,2008,0.129503929,0.053203115,Parrotfish,,
Jarvis,2008,0.399785145,0.129095669,Parrotfish,,
Johnston,2008,0.011107701,0.011107701,Parrotfish,,
Kingman,2008,0.685420705,0.221610764,Parrotfish,,
Palmyra,2008,0.148212981,0.055846221,Parrotfish,,
Wake,2009,15.18774227,8.550816366,Parrotfish,,
Baker,2010,0.11657883,0.054797492,Parrotfish,,
Howland,2010,0.371119955,0.123895083,Parrotfish,,
Jarvis,2010,1.850705085,0.381355683,Parrotfish,,
Johnston,2010,0.008902254,0.008902254,Parrotfish,,
Kingman,2010,1.357169208,0.571938966,Parrotfish,,
Palmyra,2010,0.510394401,0.250760933,Parrotfish,,
Wake,2011,2.945686953,1.378464848,Parrotfish,,
Baker,2012,1.176190558,0.181656748,Parrotfish,,
Howland,2012,1.423997589,0.453600575,Parrotfish,,
Jarvis,2012,0.596145481,0.131130554,Parrotfish,,
Johnston,2012,0.445457669,0.130379209,Parrotfish,,
Kingman,2012,0.729565886,0.260633995,Parrotfish,,
Palmyra,2012,0.392786057,0.216837919,Parrotfish,,
Wake,2014,0.542868506,0.216995207,Parrotfish,,
Baker,2015,0.723745959,0.229540954,Parrotfish,,
Howland,2015,0.319888437,0.056454839,Parrotfish,,
Jarvis,2015,0.869982889,0.294149838,Parrotfish,,
Johnston,2015,0.064047677,0.032499379,Parrotfish,,
Kingman,2015,0.673558031,0.194360798,Parrotfish,,
Palmyra,2015,0.220601292,0.057364093,Parrotfish,,
Baker,2001,5.806429292,0.550758742,Snapper,,
Howland,2001,2.80441797,1.017526731,Snapper,,
Jarvis,2001,3.803142141,1.930516912,Snapper,,
Kingman,2001,1.981769784,NA,Snapper,,
Palmyra,2001,6.365231362,5.873618438,Snapper,,
Baker,2002,5.348631698,2.21995915,Snapper,,
Howland,2002,1.509228518,NA,Snapper,,
Jarvis,2002,6.539876749,NA,Snapper,,
Kingman,2002,5.734482155,2.035717635,Snapper,,
Palmyra,2002,7.359340157,1.318759963,Snapper,,
Baker,2004,7.990380049,3.391937126,Snapper,,
Howland,2004,11.56742732,1.763658147,Snapper,,
Jarvis,2004,3.51852619,0.867207228,Snapper,,
Johnston,2004,0.203717096,0.061412183,Snapper,,
Kingman,2004,2.594850482,0.865255699,Snapper,,
Palmyra,2004,2.699215872,0.336255397,Snapper,,
Wake,2005,0.041332428,0.041332428,Snapper,,
Baker,2006,2.528743513,0.766591712,Snapper,,
Howland,2006,6.999789785,1.799637877,Snapper,,
Jarvis,2006,3.854008953,0.75430542,Snapper,,
Johnston,2006,0.374208182,0.279789011,Snapper,,
Kingman,2006,5.379432584,1.629382946,Snapper,,
Palmyra,2006,5.018613494,1.342492628,Snapper,,
Wake,2007,0,0,Snapper,,
Baker,2008,2.111555218,0.349429714,Snapper,,
Howland,2008,1.935489904,0.186596753,Snapper,,
Jarvis,2008,1.265538701,0.278522881,Snapper,,
Johnston,2008,0.082740937,0.046930181,Snapper,,
Kingman,2008,1.880616339,0.162557825,Snapper,,
Palmyra,2008,1.224689667,0.158112257,Snapper,,
Wake,2009,0.005102356,0.005102356,Snapper,,
Baker,2010,2.034630607,0.423515326,Snapper,,
Howland,2010,2.554641781,0.370880598,Snapper,,
Jarvis,2010,5.064024992,1.166774206,Snapper,,
